"","code","group","section","yearsrn","gender","age","race","hr_post","hr_pre","ir_post","ir_pre","n_post","n_pre","overall_post","overall_pre","pa_post","pa_pre","sg_post","sg_pre","sm_post","sm_pre","overall_delta","hr_delta","pa_delta","n_delta","sg_delta","ir_delta","sm_delta"
"14","2014","B","1",1,"Male",41,NA,3.88888888888889,3.22222222222222,3.44444444444444,3.22222222222222,3.33333333333333,2.66666666666667,3.44230769230769,3.08,3.25,2.75,3.55555555555556,3.625,3.125,3,0.362307692307692,0.666666666666667,0.5,0.666666666666667,-0.0694444444444446,0.222222222222222,0.125
"15","21000","B","2",6,"Female",31,"Other",1.88888888888889,1.55555555555556,2.88888888888889,2.22222222222222,2.11111111111111,1.55555555555556,2.28846153846154,1.82692307692308,2.125,1.625,2.55555555555556,2.11111111111111,2.125,1.875,0.461538461538461,0.333333333333333,0.5,0.555555555555556,0.444444444444444,0.666666666666667,0.25
"16","2313","A","2",3,"Female",34,"Black",3.11111111111111,2.66666666666667,3.55555555555556,3,3.33333333333333,2.66666666666667,3.30769230769231,2.62745098039216,3.125,2.25,3.88888888888889,2.77777777777778,2.75,2.375,0.680241327300151,0.444444444444445,0.875,0.666666666666667,1.11111111111111,0.555555555555555,0.375
"17","272734","A","2",2,"Male",26,"Black",2.66666666666667,2.55555555555556,3.22222222222222,2.88888888888889,2.55555555555556,2.11111111111111,2.92307692307692,2.73076923076923,2.625,2.625,3.55555555555556,3.33333333333333,2.875,2.875,0.192307692307692,0.111111111111111,0,0.444444444444444,0.222222222222222,0.333333333333333,0
"18","2728","B","2",1.5,"Female",28,"White",2.22222222222222,2.5,3,2.88888888888889,3.22222222222222,3.11111111111111,2.78846153846154,2.80392156862745,2.5,2.25,3.33333333333333,3.33333333333333,2.375,2.625,-0.0154600301659125,-0.277777777777778,0.25,0.111111111111111,0,0.111111111111111,-0.25
"19","2Seattle","A","2",2,"Female",34,"White",3.125,2.75,4,3.77777777777778,2.88888888888889,2.55555555555556,3.47058823529412,3.09803921568627,3.75,3.125,3.88888888888889,3.55555555555556,3.125,2.75,0.372549019607843,0.375,0.625,0.333333333333333,0.333333333333333,0.222222222222222,0.375
"20","3131","B","2",3,"Female",32,"White",2.88888888888889,1.88888888888889,3.66666666666667,2.77777777777778,2.44444444444444,2.22222222222222,2.88461538461538,2.46153846153846,2.375,2.25,3.22222222222222,3.11111111111111,2.625,2.5,0.423076923076923,1,0.125,0.222222222222222,0.111111111111111,0.888888888888889,0.125
"21","32598","A","1",14,"Female",37,"White",3.44444444444444,2.22222222222222,3.55555555555556,3.33333333333333,3.11111111111111,2.66666666666667,3.34615384615385,2.78846153846154,3.375,3,3.88888888888889,3.11111111111111,2.625,2.375,0.557692307692308,1.22222222222222,0.375,0.444444444444445,0.777777777777778,0.222222222222222,0.25
"22","3357","A","2",1.5,"Female",22,"White",2.88888888888889,3,3.55555555555556,3.33333333333333,2.77777777777778,2.44444444444444,3.13461538461538,2.76923076923077,2.875,2.125,3.66666666666667,3.77777777777778,3,1.75,0.365384615384615,-0.111111111111111,0.75,0.333333333333333,-0.111111111111111,0.222222222222222,1.25
"23","3414","A","1",16,"Female",46,"White",2.33333333333333,2.88888888888889,3.33333333333333,3.88888888888889,3.22222222222222,3,3.15384615384615,3.44230769230769,3.375,3.75,3.77777777777778,4,2.875,3.125,-0.288461538461539,-0.555555555555555,-0.375,0.222222222222222,-0.222222222222222,-0.555555555555555,-0.25
"24","370","A","2",5,"Male",30,"Black",3,2.33333333333333,3.33333333333333,3.11111111111111,3.22222222222222,3,3.09803921568627,2.78846153846154,2.57142857142857,2.625,3.33333333333333,3.11111111111111,3,2.5,0.309577677224736,0.666666666666667,-0.0535714285714284,0.222222222222222,0.222222222222222,0.222222222222222,0.5
"25","37374","A","1",10,"Female",33,"White",2.77777777777778,2.55555555555556,3.22222222222222,3.11111111111111,3.22222222222222,3.33333333333333,2.80769230769231,2.86538461538462,2,2.625,3.11111111111111,3.33333333333333,2.375,2.125,-0.0576923076923079,0.222222222222222,-0.625,-0.111111111111111,-0.222222222222222,0.111111111111111,0.25
"26","396396","A","2",2.5,"Female",26,"White",2.55555555555556,2.11111111111111,2.88888888888889,2.33333333333333,2.22222222222222,2.33333333333333,2.5,2.28846153846154,2.5,2.375,2.66666666666667,2.22222222222222,2.125,2.375,0.211538461538462,0.444444444444444,0.125,-0.111111111111111,0.444444444444444,0.555555555555555,-0.25
"27","40919","A","2",4,"NA",45,"Black",2.66666666666667,2.55555555555556,3.22222222222222,2.88888888888889,3,2.5,2.90384615384615,2.78,2.625,2.125,3.55555555555556,3.55555555555556,2.25,3,0.123846153846154,0.111111111111111,0.5,0.5,0,0.333333333333333,-0.75
"28","4227","B","2",4,"Female",28,"White",3.22222222222222,3.44444444444444,3.77777777777778,4,3.55555555555556,3.66666666666667,3.28846153846154,3.63461538461538,2.75,3.25,3.66666666666667,4,2.625,3.375,-0.346153846153846,-0.222222222222222,-0.5,-0.111111111111111,-0.333333333333333,-0.222222222222222,-0.75
"29","453124","A","2",2.5,"Female",28,"White",2.11111111111111,1.88888888888889,3,2.88888888888889,2.33333333333333,2.11111111111111,2.55769230769231,2.40384615384615,2.25,1.875,3,3.33333333333333,2.625,2.25,0.153846153846154,0.222222222222222,0.375,0.222222222222222,-0.333333333333333,0.111111111111111,0.375
"30","4596","A","3",0.58,"Female",23,"Black",3.66666666666667,3,4,3.33333333333333,2.88888888888889,2.22222222222222,3.42307692307692,2.71153846153846,2.875,2.125,3.88888888888889,3.55555555555556,3.125,1.875,0.711538461538461,0.666666666666667,0.75,0.666666666666667,0.333333333333333,0.666666666666667,1.25
"31","517","B","2",0,"Female",29,"White",3.22222222222222,2.88888888888889,2.33333333333333,2.66666666666667,2.33333333333333,2.44444444444444,2.59615384615385,2.59615384615385,2.875,2.625,2.55555555555556,2.77777777777778,2.25,2.125,0,0.333333333333333,0.25,-0.111111111111111,-0.222222222222222,-0.333333333333333,0.125
"32","521573","B","1",1.5,"Female",26,"Black",2.55555555555556,3,2.55555555555556,3,1.88888888888889,2.22222222222222,2.13461538461538,2.69230769230769,1.625,2,2.55555555555556,3.22222222222222,1.5,2.625,-0.557692307692308,-0.444444444444445,-0.375,-0.333333333333333,-0.666666666666667,-0.444444444444445,-1.125
"33","529","B","2",NA,"NA",NA,NA,3.22222222222222,2.55555555555556,3.77777777777778,3.22222222222222,2.44444444444444,2.22222222222222,2.96153846153846,2.57692307692308,1.875,1.5,3.33333333333333,3.33333333333333,3,2.5,0.384615384615385,0.666666666666667,0.375,0.222222222222222,0,0.555555555555555,0.5
"34","53185","A","1",3,"Female",25,"White",3.55555555555556,3.66666666666667,3.55555555555556,3.88888888888889,3.22222222222222,3.11111111111111,3.28846153846154,3.36538461538462,3.375,3.5,3.44444444444444,3.33333333333333,2.5,2.625,-0.0769230769230771,-0.111111111111111,-0.125,0.111111111111111,0.111111111111111,-0.333333333333333,-0.125
"35","544","A","2",8,"Male",34,"White",1.77777777777778,2,2.22222222222222,2.66666666666667,2.55555555555556,2.11111111111111,2.23076923076923,2.23076923076923,2.25,1.25,2.66666666666667,3.22222222222222,1.875,2,0,-0.222222222222222,1,0.444444444444444,-0.555555555555556,-0.444444444444444,-0.125
"36","5785","A","1",3,"Female",29,"White",3,3.125,3.88888888888889,3.88888888888889,3.88888888888889,3.55555555555556,3.53846153846154,3.56862745098039,3.375,3.625,3.88888888888889,3.88888888888889,3.125,3.25,-0.030165912518854,-0.125,-0.25,0.333333333333333,0,0,-0.125
"37","68881","A","3",8,"Female",30,"White",2.33333333333333,2.11111111111111,3.77777777777778,3.11111111111111,2.88888888888889,2.77777777777778,2.71153846153846,2.53846153846154,2.125,2.375,2.77777777777778,2.66666666666667,2.25,2.125,0.173076923076923,0.222222222222222,-0.25,0.111111111111111,0.111111111111111,0.666666666666667,0.125
"38","6909","B","1",2,"Female",29,"Other",2.22222222222222,2.11111111111111,3.11111111111111,2.55555555555556,3.11111111111111,2.88888888888889,2.80769230769231,2.59615384615385,2.125,2.25,3.44444444444444,3.44444444444444,2.75,2.25,0.211538461538461,0.111111111111111,-0.125,0.222222222222222,0,0.555555555555556,0.5
"39","701001","B","2",1,"Female",23,"White",2.44444444444444,2.66666666666667,2.77777777777778,3.33333333333333,3.55555555555556,3.33333333333333,3.05769230769231,3.38461538461538,3.25,3.75,3.33333333333333,3.55555555555556,3,3.75,-0.326923076923077,-0.222222222222222,-0.5,0.222222222222222,-0.222222222222222,-0.555555555555556,-0.75
"40","7110","B","2",5.5,"Female",26,"White",2.44444444444444,2.22222222222222,2.66666666666667,3,3.44444444444444,3.11111111111111,2.55769230769231,2.63461538461538,1.75,2,2.77777777777778,3,2.125,2.375,-0.0769230769230771,0.222222222222222,-0.25,0.333333333333333,-0.222222222222222,-0.333333333333333,-0.25
"41","741974","B","2",0,"Female",28,"White",3.22222222222222,2.11111111111111,4,3.55555555555556,2.88888888888889,3,3.40384615384615,2.92307692307692,2.375,2.5,4,3.55555555555556,3.875,2.75,0.480769230769231,1.11111111111111,-0.125,-0.111111111111111,0.444444444444445,0.444444444444445,1.125
"42","7886","A","2",6,"Female",31,"White",2.77777777777778,2.66666666666667,3.77777777777778,3.44444444444444,3.33333333333333,3,3.23076923076923,3.01923076923077,2.625,3.25,3.88888888888889,3.22222222222222,2.875,2.5,0.211538461538462,0.111111111111111,-0.625,0.333333333333333,0.666666666666667,0.333333333333333,0.375
"43","813","A","1",6,"Female",27,"White",3.22222222222222,3.11111111111111,3.33333333333333,3.11111111111111,3.22222222222222,2.55555555555556,2.96153846153846,2.71153846153846,2.25,2.25,3.11111111111111,2.66666666666667,2.5,2.5,0.25,0.111111111111111,0,0.666666666666667,0.444444444444445,0.222222222222222,0
"44","82677","A","1",0,"Female",30,"White",2.55555555555556,2.33333333333333,2.88888888888889,2.88888888888889,2.33333333333333,2.77777777777778,2.53846153846154,2.86538461538462,2.875,3.75,2.55555555555556,2.88888888888889,2,2.625,-0.326923076923077,0.222222222222222,-0.875,-0.444444444444444,-0.333333333333333,0,-0.625
"45","82876","A","3",11,"Female",35,"White",3,2.55555555555556,3.88888888888889,3.55555555555556,3.22222222222222,3,3.30769230769231,2.94230769230769,3.5,2.875,3.22222222222222,3.33333333333333,3,2.25,0.365384615384615,0.444444444444445,0.625,0.222222222222222,-0.111111111111111,0.333333333333333,0.75
"46","847764","A","2",3,"Male",33,"Black",3.44444444444444,2.77777777777778,3.55555555555556,3.33333333333333,3.22222222222222,2.33333333333333,3.5,2.73076923076923,3.25,2.125,3.88888888888889,3.44444444444444,3.625,2.25,0.769230769230769,0.666666666666667,1.125,0.888888888888889,0.444444444444444,0.222222222222222,1.375
